Short_Name,School_Type,Primary_Category,Zip,Excelerate_Award_Gold_Year,Student_Attainment_Rating,Attainment_Reading_Pct_ES,Attainment_Reading_Lbl_ES,Attainment_Math_Pct_ES,Attainment_Math_Lbl_ES,Culture_Climate_Rating,School_Survey_Student_Response_Rate_Pct,School_Survey_Teacher_Response_Rate_Pct,School_Survey_Parent_Response_Rate_Pct,Healthy_School_Certification,Healthy_School_Certification_Description,Creative_School_Certification,Creative_School_Certification_Description,NWEA_Reading_Attainment_Grade_2_Pct,NWEA_Reading_Attainment_Grade_2_Lbl,NWEA_Reading_Attainment_Grade_3_Pct,NWEA_Reading_Attainment_Grade_3_Lbl,NWEA_Reading_Attainment_Grade_4_Pct,NWEA_Reading_Attainment_Grade_4_Lbl,NWEA_Reading_Attainment_Grade_5_Pct,NWEA_Reading_Attainment_Grade_5_Lbl,NWEA_Reading_Attainment_Grade_6_Pct,NWEA_Reading_Attainment_Grade_6_Lbl,NWEA_Reading_Attainment_Grade_7_Pct,NWEA_Reading_Attainment_Grade_7_Lbl,NWEA_Reading_Attainment_Grade_8_Pct,NWEA_Reading_Attainment_Grade_8_Lbl,NWEA_Math_Attainment_Grade_2_Pct,NWEA_Math_Attainment_Grade_2_Lbl,NWEA_Math_Attainment_Grade_3_Pct,NWEA_Math_Attainment_Grade_3_Lbl,NWEA_Math_Attainment_Grade_4_Pct,NWEA_Math_Attainment_Grade_4_Lbl,NWEA_Math_Attainment_Grade_5_Pct,NWEA_Math_Attainment_Grade_5_Lbl,NWEA_Math_Attainment_Grade_6_Pct,NWEA_Math_Attainment_Grade_6_Lbl,NWEA_Math_Attainment_Grade_7_Pct,NWEA_Math_Attainment_Grade_7_Lbl,NWEA_Math_Attainment_Grade_8_Pct,NWEA_Math_Attainment_Grade_8_Lbl,School_Survey_Involved_Families,School_Survey_Supportive_Environment,School_Survey_Ambitious_Instruction,School_Survey_Effective_Leaders,School_Survey_Collaborative_Teachers,School_Survey_Safety,Suspensions_Per_100_Students_Year_1_Pct,Misconducts_To_Suspensions_Year_1_Pct,Average_Length_Suspension_Year_1_Pct,School_Survey_School_Community,School_Survey_Parent_Teacher_Partnership,School_Survey_Quality_Of_Facilities,Student_Attendance_Year_1_Pct,Teacher_Attendance_Year_1_Pct,Progress_Toward_Graduation_Year_1,Progress_Toward_Graduation_Year_2,Chronic_Truancy_Pct,Supportive_School_Award,School_Latitude,School_Longitude
CICS - NORTHTOWN HS,Charter,HS,"60,659",,MET EXPECTATIONS,,,,,WELL ORGANIZED,78.3,82.1,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.4,,"2,017","2,018",41.8,NOT RATED,41.990245,-87.726504
TWAIN,Neighborhood,ES,"60,638",2018,ABOVE AVERAGE,79,79th,80,80th,MODERATELY ORGANIZED,99.2,80,> 75%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",76,76th,76,76th,64,64th,72,72nd,78,78th,80,80th,91,91st,64,64th,79,79th,64,64th,82,82nd,80,80th,86,86th,90,90th,NEUTRAL,WEAK,NEUTRAL,STRONG,NEUTRAL,WEAK,0.5,11.8,1.8 days,STRONG,STRONG,STRONG,95.7,95.3,"2,017","2,018",0,EMERGING,41.799046,-87.758928
HEARST,Neighborhood,ES,"60,638",2018,BELOW AVERAGE,20,20th,24,24th,NOT YET ORGANIZED,98.9,81,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",2,2nd,31,31st,22,22nd,18,18th,10,10th,39,39th,54,54th,2,2nd,55,55th,9,9th,29,29th,11,11th,37,37th,57,57th,WEAK,NEUTRAL,NEUTRAL,WEAK,WEAK,WEAK,3.9,14.6,2.1 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,94.6,"2,017","2,018",28.7,NOT RATED,41.808175,-87.745726
PECK,Neighborhood,ES,"60,629",2018,AVERAGE,65,65th,62,62nd,WELL ORGANIZED,0,93.2,69%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",62,62nd,73,73rd,57,57th,,,,,,,,,40,40th,88,88th,54,54th,,,,,,,,,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,STRONG,VERY STRONG,NOT ENOUGH DATA,0.2,0.5,3.5 days,STRONG,VERY STRONG,STRONG,95.5,95.9,"2,017","2,018",13.1,EXEMPLARY,41.787899,-87.719216
COURTENAY,Small,ES,"60,640",2018,AVERAGE,45,45th,35,35th,ORGANIZED,74.8,70.7,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",40,40th,23,23rd,44,44th,11,11th,63,63rd,83,83rd,63,63rd,24,24th,17,17th,41,41st,43,43rd,18,18th,42,42nd,66,66th,STRONG,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,0.9,18.2,3.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.6,95.8,"2,017","2,018",21,EXEMPLARY,41.962308,-87.663853
BRIGHTON PARK,Neighborhood,ES,"60,632",2018,AVERAGE,40,40th,34,34th,PARTIALLY ORGANIZED,93.7,73.3,57%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",7,7th,22,22nd,37,37th,28,28th,60,60th,51,51st,54,54th,2,2nd,27,27th,30,30th,10,10th,23,23rd,45,45th,68,68th,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,2.9,41.2,1.2 days,NEUTRAL,NEUTRAL,NEUTRAL,94.7,95.2,"2,017","2,018",15.7,EXEMPLARY,41.8239,-87.692077
LLOYD,Neighborhood,ES,"60,639",2018,AVERAGE,45,45th,43,43rd,MODERATELY ORGANIZED,0,81.9,66%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",20,20th,58,58th,49,49th,51,51st,,,,,,,25,25th,57,57th,33,33rd,49,49th,,,,,,,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,0.4,15.2,1.2 days,NEUTRAL,STRONG,STRONG,94.7,96.1,"2,017","2,018",23.3,EMERGING,41.918814,-87.748515
RAVENSWOOD,Neighborhood,ES,"60,613",2018,FAR ABOVE AVERAGE,94,94th,89,89th,WELL ORGANIZED,96.8,68.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",84,84th,94,94th,89,89th,97,97th,93,93rd,98,98th,97,97th,53,53rd,96,96th,92,92nd,88,88th,79,79th,96,96th,96,96th,VERY STRONG,NEUTRAL,VERY STRONG,STRONG,VERY STRONG,STRONG,0.4,11.1,2.0 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,95.9,95.8,"2,017","2,018",13.4,EMERGING,41.960746,-87.670922
PORTAGE PARK,Neighborhood,ES,"60,641",2018,AVERAGE,69,69th,49,49th,WELL ORGANIZED,94.2,90.9,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",55,55th,66,66th,51,51st,65,65th,79,79th,79,79th,79,79th,44,44th,48,48th,41,41st,42,42nd,50,50th,57,57th,58,58th,VERY STRONG,STRONG,STRONG,STRONG,STRONG,STRONG,0.6,9.2,2.5 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,94.9,94.9,"2,017","2,018",15.6,ESTABLISHED,41.956988,-87.761007
LEARN - BUTLER,Charter,ES,"60,624",,AVERAGE,56,56th,50,50th,MODERATELY ORGANIZED,82.6,69.6,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",51,51st,34,34th,52,52nd,51,51st,76,76th,67,67th,65,65th,60,60th,43,43rd,37,37th,35,35th,54,54th,57,57th,63,63rd,NEUTRAL,WEAK,STRONG,NEUTRAL,NEUTRAL,VERY WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.1,,"2,017","2,018",31.2,NOT RATED,41.867273,-87.710679
SOUTH LOOP,Regional gifted center,ES,"60,616",,FAR ABOVE AVERAGE,96,96th,84,84th,ORGANIZED,94.2,85.4,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",96,96th,96,96th,93,93rd,92,92nd,98,98th,97,97th,98,98th,88,88th,91,91st,78,78th,75,75th,87,87th,81,81st,90,90th,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,1.8,43.8,3.9 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.1,95.2,"2,017","2,018",15.2,ESTABLISHED,41.859741,-87.628349
HOPE HS,Neighborhood,HS,"60,621",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,55.1,95,43%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,WEAK,32.3,26.4,3.0 days,STRONG,STRONG,NEUTRAL,83.7,90.8,"2,017","2,018",81.2,NOT RATED,41.793553,-87.641244
WARREN,Neighborhood,ES,"60,617",2018,AVERAGE,67,67th,60,60th,WELL ORGANIZED,91.1,93.8,75%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",14,14th,83,83rd,82,82nd,20,20th,90,90th,73,73rd,79,79th,41,41st,57,57th,64,64th,54,54th,54,54th,61,61st,75,75th,NEUTRAL,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,13.2,62.3,3.0 days,NEUTRAL,WEAK,NEUTRAL,93.4,95.1,"2,017","2,018",41.4,EMERGING,41.726763,-87.575353
THORP O,Magnet,ES,"60,634",,FAR ABOVE AVERAGE,90,90th,91,91st,MODERATELY ORGANIZED,84.2,56.9,61%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",80,80th,91,91st,97,97th,83,83rd,90,90th,93,93rd,90,90th,73,73rd,85,85th,95,95th,88,88th,88,88th,97,97th,97,97th,STRONG,WEAK,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,0.7,14.6,2.2 days,STRONG,NEUTRAL,NEUTRAL,96.2,94.5,"2,017","2,018",4.9,NOT RATED,41.948571,-87.777631
WILLIAMS HS,Small,HS,"60,615",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,74.1,89.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,WEAK,22,44.5,2.2 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,87,95.1,"2,017","2,018",82.9,EMERGING,41.806118,-87.62503
ART IN MOTION,Charter,HS,"60,649",,,,,,,,,,,Not Achieved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.760034,-87.583328
HERZL,Neighborhood,ES,"60,623",2018,BELOW AVERAGE,6,6th,14,14th,WELL ORGANIZED,76.6,68.8,55%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",4,4th,1,1st,5,5th,4,4th,22,22nd,11,11th,30,30th,7,7th,2,2nd,8,8th,16,16th,16,16th,22,22nd,28,28th,STRONG,STRONG,VERY STRONG,STRONG,STRONG,NEUTRAL,38.5,17.8,1.8 days,STRONG,STRONG,VERY STRONG,95,96.4,"2,017","2,018",26.3,EMERGING,41.862081,-87.718994
SABIN,Magnet,ES,"60,622",,AVERAGE,49,49th,60,60th,ORGANIZED,93.6,51.2,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",28,28th,66,66th,33,33rd,37,37th,43,43rd,64,64th,72,72nd,27,27th,49,49th,29,29th,62,62nd,51,51st,78,78th,90,90th,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,WEAK,11.8,48.3,1.9 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.8,94.2,"2,017","2,018",25.1,EMERGING,41.906816,-87.68305
MCDADE,Classical,ES,"60,619",,FAR ABOVE AVERAGE,99,99th,99,99th,PARTIALLY ORGANIZED,96,41.2,60%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",99,99th,99,99th,99,99th,99,99th,99,99th,,,,,99,99th,99,99th,99,99th,99,99th,99,99th,,,,,NOT ENOUGH DATA,VERY WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,0,0,0.0 days,VERY STRONG,NEUTRAL,NEUTRAL,96.7,94.2,"2,017","2,018",0.5,EMERGING,41.73455,-87.619214
BURKE,Neighborhood,ES,"60,615",2018,BELOW AVERAGE,13,13th,20,20th,WELL ORGANIZED,78.9,95.6,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,STRONG,"This school is Strong in the arts. It nearly meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",6,6th,1,1st,31,31st,13,13th,5,5th,26,26th,43,43rd,12,12th,5,5th,29,29th,13,13th,8,8th,31,31st,49,49th,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,NEUTRAL,2.8,8.6,1.7 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,93.2,95.3,"2,017","2,018",60,ESTABLISHED,41.79676,-87.616141
ACERO - SOTO HS,Charter,HS,"60,632",,BELOW EXPECTATIONS,,,,,ORGANIZED,85.6,92.7,< 30%,Not Achieved,This school is not a participant of the Healthy CPS initiative. Learn more by visiting  cps.edu/healthycps .,DEVELOPING,"This school is Developing in the arts. It occasionally meets the goals and priorities of the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,STRONG,STRONG,WEAK,NEUTRAL,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,89.9,,"2,017","2,018",3,NOT RATED,41.801762,-87.711025
LEGAL PREP HS,Charter,HS,"60,624",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,72.7,83.3,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEUTRAL,NEUTRAL,STRONG,STRONG,STRONG,WEAK,,,,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,88.9,,"2,017","2,018",67.9,NOT RATED,41.881733,-87.733778
BROOKS HS,Selective enrollment,HS,"60,628",,FAR ABOVE EXPECTATIONS,99,99th,97,97th,WELL ORGANIZED,87.8,52.5,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,98,98th,99,99th,,,,,,,,,,,96,96th,95,95th,STRONG,NEUTRAL,STRONG,NEUTRAL,STRONG,WEAK,4.1,15,1.5 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,91.4,94,"2,017","2,018",68.3,EMERGING,41.692763,-87.616353
COLEMON,Neighborhood,ES,"60,643",2018,ABOVE AVERAGE,82,82nd,72,72nd,WELL ORGANIZED,94.6,90.5,60%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",70,70th,75,75th,80,80th,85,85th,81,81st,86,86th,92,92nd,47,47th,81,81st,89,89th,61,61st,64,64th,77,77th,78,78th,STRONG,STRONG,VERY STRONG,STRONG,VERY STRONG,STRONG,3.5,8.6,1.6 days,VERY STRONG,VERY STRONG,STRONG,95.6,94.2,"2,017","2,018",20.5,EMERGING,41.677505,-87.658111
LINDBLOM HS,Selective enrollment,HS,"60,636",,FAR ABOVE EXPECTATIONS,99,99th,96,96th,WELL ORGANIZED,67.3,68.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EXCELLING,"This school is Excelling in the arts. It meets the goals and priorities outlined in the CPS Arts Education Plan, including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,99,99th,98,98th,,,,,,,,,,,94,94th,94,94th,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,STRONG,WEAK,2.3,73.2,2.8 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,91.6,96.1,"2,017","2,018",50.7,EMERGING,41.782041,-87.671662
CHICAGO VOCATIONAL HS,Career academy,HS,"60,617",,FAR BELOW EXPECTATIONS,,,,,WELL ORGANIZED,84.8,70.8,< 30%,Not Achieved,Students learn better at healthy schools! This school is working towards achieving Healthy CPS. Schools must earn four badges to become Healthy CPS. Learn more by visiting  cps.edu/healthycps .,EMERGING,"This school is Emerging in the arts. It rarely meets the goals and priorities outlined in the CPS Arts Education Plan including Staffing & Instruction, Partnerships, Community & Culture, and Budget & Planning. To learn more, visit  www.cpsarts.org/creative-schools-categories .",,,,,,,,,,,,,,,,,,,,,,,,,,,,,STRONG,NEUTRAL,VERY STRONG,NEUTRAL,STRONG,WEAK,20.9,55,3.4 days,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,83.7,94.2,"2,017","2,018",71.1,NOT RATED,41.737174,-87.573268
